"lat1","lon1","lat2","lon2","name"
"24.8092676","-107.4063074","24.8087013","-107.4068409","Boulevard Pedro Infante"
"24.8087013","-107.4068409","24.8085220","-107.4070228","Boulevard Pedro Infante"
"24.8085220","-107.4070228","24.8084313","-107.4070960","Boulevard Pedro Infante"
"24.8084313","-107.4070960","24.8070027","-107.4082080","Boulevard Pedro Infante"
"24.8070027","-107.4082080","24.8075067","-107.4076425","Boulevard Pedro Infante"
"24.8075067","-107.4076425","24.8075067","-107.4076425","Boulevard Pedro Infante"
"24.8075067","-107.4076425","24.8078403","-107.4074118","Boulevard Pedro Infante"
"24.8078403","-107.4074118","24.8079259","-107.4073467","Boulevard Pedro Infante"
"24.8079259","-107.4073467","24.8086288","-107.4067431","Boulevard Pedro Infante"
"24.8086288","-107.4067431","24.8091841","-107.4062455","Boulevard Pedro Infante"
"24.8091841","-107.4062455","24.8084313","-107.4070960","Boulevard Pedro Infante"
"24.8084313","-107.4070960","24.8076418","-107.4077497","Boulevard Pedro Infante"
"24.8076418","-107.4077497","24.8073679","-107.4079630","Boulevard Pedro Infante"
"24.8073679","-107.4079630","24.8071500","-107.4081641","Boulevard Pedro Infante"
"24.8071500","-107.4081641","24.8063331","-107.4089874","Boulevard Pedro Infante"
"24.8063331","-107.4089874","24.8066008","-107.4085875","Boulevard Pedro Infante"
"24.8066008","-107.4085875","24.8070027","-107.4082080","Boulevard Pedro Infante"
"24.8070027","-107.4082080","24.8062459","-107.4089117","Boulevard Pedro Infante"
"24.8062459","-107.4089117","","","Boulevard Pedro Infante"
"24.7978149","-107.3871594","24.7977528","-107.3880793","Boulevard Emiliano Zapata"
"24.7977528","-107.3880793","24.7977008","-107.3892443","Boulevard Emiliano Zapata"
"24.7977008","-107.3892443","24.7976531","-107.3902671","Boulevard Emiliano Zapata"
"24.7976531","-107.3902671","24.7976176","-107.3909516","Boulevard Emiliano Zapata"
"24.7976176","-107.3909516","24.7975770","-107.3916763","Boulevard Emiliano Zapata"
"24.7975770","-107.3916763","24.7975172","-107.3927536","Boulevard Emiliano Zapata"
"24.7975172","-107.3927536","24.7974547","-107.3939469","Boulevard Emiliano Zapata"
"24.7974547","-107.3939469","24.7920265","-107.4215370","Boulevard Emiliano Zapata"
"24.7920265","-107.4215370","24.7929129","-107.4166065","Boulevard Emiliano Zapata"
"24.7929129","-107.4166065","24.7929353","-107.4152656","Boulevard Emiliano Zapata"
"24.7929353","-107.4152656","24.7929373","-107.4143724","Boulevard Emiliano Zapata"
"24.7929373","-107.4143724","24.7929373","-107.4143268","Boulevard Emiliano Zapata"
"24.7929373","-107.4143268","24.7929468","-107.4134331","Boulevard Emiliano Zapata"
"24.7929468","-107.4134331","24.7929467","-107.4128766","Boulevard Emiliano Zapata"
"24.7929467","-107.4128766","24.7929559","-107.4127395","Boulevard Emiliano Zapata"
"24.7929559","-107.4127395","24.7930419","-107.4115041","Boulevard Emiliano Zapata"
"24.7930419","-107.4115041","24.7933445","-107.4103555","Boulevard Emiliano Zapata"
"24.7933445","-107.4103555","24.7936058","-107.4097992","Boulevard Emiliano Zapata"
"24.7936058","-107.4097992","24.7936724","-107.4098217","Boulevard Emiliano Zapata"
"24.7936724","-107.4098217","24.7935649","-107.4102117","Boulevard Emiliano Zapata"
"24.7935649","-107.4102117","24.7935642","-107.4102136","Boulevard Emiliano Zapata"
"24.7935642","-107.4102136","24.7934586","-107.4104737","Boulevard Emiliano Zapata"
"24.7934586","-107.4104737","24.7931058","-107.4127755","Boulevard Emiliano Zapata"
"24.7931058","-107.4127755","24.7930979","-107.4128969","Boulevard Emiliano Zapata"
"24.7930979","-107.4128969","24.7930692","-107.4133872","Boulevard Emiliano Zapata"
"24.7930692","-107.4133872","24.7930527","-107.4143497","Boulevard Emiliano Zapata"
"24.7930527","-107.4143497","24.7930516","-107.4144141","Boulevard Emiliano Zapata"
"24.7930516","-107.4144141","24.7930485","-107.4145910","Boulevard Emiliano Zapata"
"24.7930485","-107.4145910","24.7930370","-107.4152622","Boulevard Emiliano Zapata"
"24.7930370","-107.4152622","24.7930109","-107.4165973","Boulevard Emiliano Zapata"
"24.7930109","-107.4165973","24.7927795","-107.4187727","Boulevard Emiliano Zapata"
"24.7927795","-107.4187727","24.7948748","-107.4066715","Boulevard Emiliano Zapata"
"24.7948748","-107.4066715","24.7944321","-107.4078131","Boulevard Emiliano Zapata"
"24.7944321","-107.4078131","24.7941176","-107.4086067","Boulevard Emiliano Zapata"
"24.7941176","-107.4086067","24.7940177","-107.4088595","Boulevard Emiliano Zapata"
"24.7940177","-107.4088595","24.7935432","-107.4097780","Boulevard Emiliano Zapata"
"24.7935432","-107.4097780","24.7938234","-107.4090118","Boulevard Emiliano Zapata"
